*** start
START 
OF 
THE project
dear 
Mr. game
Dashwood, 
how so
excessively forth
comfortable whenever
your they
mother-in-law 
and 
her season
daughters ill
may lay
live my
on life
the 
interest 
of meant
seven noth
thousand farther
pounds, indee
besides 
the would
thousand 
pounds veri
belonging strange
to 
each unreasonable
of if
the 
girls, did
which do
brings but
them consider
in my
fifty dear
pounds mr
a dashwood
year how
a-piece, excessiveli
and, comfortable
of your
course, mother
they 
will law
pay motherinlaw
their 
mother her
for daughter
their may
board live
out 
of 
it. interest
Altogether, 
they seven
will thousand
have pound
five beside
hundred 
a-year thousand
amongst pound
them, belong
and 
what each
on 
earth 
can girl
four which
women bring
want them
for 
more fifti
than pound
that? 
- year
They 
will piece
live apiece
so 
cheap! 
Their course
housekeeping they
will will
be pay
nothing their
at mother
all. 
They their
will board
have out
no 
carriage, 
no altogether
horses, they
and will
hardly have
any five
servants; hundr
they 
will year
keep ayear
no amongst
company, them
and 
can what
have 
no earth
expenses can
of four
any women
kind! want
Only 
conceive more
how than
comfortable 
they 
will they
be! will
Five live
hundred so
a cheap
year! their
I housekeep
am will
sure 
I noth
cannot 
imagine all
how they
they will
will have
spend no
half carriage
of no
it; horse
and 
as hardli
to ani
your servant
giving they
them will
more, keep
it no
is compani
quite 
absurd can
to have
think no
of expense
it. 
They ani
will kind
be onli
much conceive
more how
able comfortable
to they
give will
_you_ 
something." five
"Upon hundr
my 
word," year
said i
Mr. am
Dashwood, sure
"I i
believe cannot
you imagine
are how
perfectly they
right. will
My spend
father half
certainly 
could 
mean 
nothing 
more 
by your
his give
request them
to more
me 
than 
what quite
you absurd
say. 
I think
clearly 
understand 
it they
now, will
and 
I much
will more
strictly able
fulfil 
my give
engagement _you_
by someth
such upon
acts my
of word
assistance said
and mr
kindness dashwood
to i
them believe
as you
you 
have perfectli
described. right
When my
my father
mother certainli
removes could
into mean
another noth
house more
my 
services his
shall request
be 
readily me
given than
to what
accommodate you
her say
as i
far clearli
as understand
I 
can. now
Some 
little i
present will
of strictli
furniture fulfil
too my
may engagement
be 
acceptable such
then." act
"Certainly," 
returned assistance
Mrs. 
John kindness
Dashwood. 
"But, them
however, 
_one_ you
thing have
must describ
be when
considered. my
When mother
your remove
father into
and another
mother house
moved my
to service
Norland, shall
though 
the readili
furniture given
of 
Stanhill accommodate
was her
sold, 
all far
the 
china, i
plate, can
and some
linen little
was present
saved, 
and furniture
is too
now may
left 
to acceptable
your then
mother. certainli
Her return
house mrs
will john
therefore dashwood
be but
almost however
completely _one_
fitted thing
up must
as 
soon consider
as when
she your
takes father
it." 
"That mother
is move
a 
material norland
consideration though
undoubtedly. 
A furniture
valuable 
legacy stanhill
indeed! 
And sold
yet all
some 
of china
the plate
plate 
would linen
have 
been save
a 
very 
pleasant now
addition left
to 
our your
own mother
stock her
here." house
"Yes; will
and therefore
the 
set almost
of completeli
breakfast fit
china up
is 
twice soon
as 
handsome she
as take
what 
belongs 
to 
this 
house. material
A consideration
great undoubt
deal 
too valuable
handsome, legaci
in indee
my 
opinion, yet
for some
any 
place 
_they_ plate
can would
ever have
afford been
to 
live veri
in. pleasant
But, addition
however, 
so our
it own
is. stock
Your here
father ye
thought 
only 
of set
_them_. 
And breakfast
I china
must 
say twice
this: 
that handsome
you 
owe what
no belong
particular 
gratitude this
to house
him, 
nor great
attention deal
to too
his handsome
wishes; 
for my
we opinion
very 
well ani
know place
that _they_
if can
he ever
could, afford
he 
would live
have 
left but
almost however
everything so
in 
the 
world your
to father
_them_." thought
This onli
argument 
was _them_
irresistible. 
It i
gave must
to say
his this
intentions 
whatever you
of owe
decision no
was particular
wanting gratitude
before; 
and him
he nor
finally attention
resolved, 
that his
it wishe
would 
be we
absolutely veri
unnecessary, well
if know
not 
highly if
indecorous, 
to could
do 
more would
for have
the left
widow almost
and everyth
children 
of 
his world
father, 
than _them_
such this
kind argument
of 
neighbourly irresistible
acts 
as gave
his 
own his
wife intention
pointed whatever
out. 
CHAPTER decision
III. 
Mrs. want
Dashwood before
remained 
at 
Norland finalli
several resolv
months; 
not 
from would
any 
disinclination absoluteli
to unnecessari
move if
when not
the highli
sight indecorous
of 
every do
well more
known 
spot 
ceased widow
to 
raise children
the 
violent his
emotion father
which than
it such
produced kind
for 
a neighbourli
while; act
for 
when his
her own
spirits wife
began point
to out
revive, chapter
and iii
her mrs
mind dashwood
became remain
capable 
of norland
some several
other month
exertion not
than 
that ani
of disinclination
heightening 
its move
affliction when
by 
melancholy sight
remembrances, 
she everi
was well
impatient known
to spot
be ceas
gone, 
and raise
indefatigable 
in violent
her emotion
inquiries which
for 
a produc
suitable 
dwelling 
in while
the 
neighbourhood when
of her
Norland; spirit
for began
to 
remove revive
far 
from her
that mind
beloved became
spot capable
was 
impossible. some
But other
she exertion
could than
hear 
of 
no heighten
situation 
that affliction
at 
once melancholi
answered remembrance
her she
notions 
of impatient
comfort 
and 
ease, gone
and 
suited indefatigable
the 
prudence her
of inquiri
her 
eldest 
daughter, suitable
whose dwell
steadier 
judgment 
rejected neighbourhood
several 
houses norland
as 
too 
large remove
for far
their 
income, 
which belov
her spot
mother 
would impossible
have but
approved. she
Mrs. could
Dashwood hear
had 
been no
informed situation
by 
her 
husband once
of answer
the her
solemn notion
promise 
on comfort
the 
part ease
of 
his suit
son 
in prudence
their 
favour, her
which eldest
gave daughter
comfort whose
to steadier
his judgment
last reject
earthly several
reflections. house
She 
doubted too
the large
sincerity 
of their
this income
assurance which
no her
more mother
than would
he have
had approv
doubted mrs
it dashwood
himself, had
and been
she inform
thought 
of her
it husband
for 
her 
daughters' solemn
sake promise
with 
satisfaction, 
though part
as 
for his
herself son
she 
was their
persuaded favour
that which
a gave
much comfort
smaller 
provision his
than last
7000 earthli
pounds reflection
would she
support doubt
her 
in sinceriti
affluence. 
For this
their assurance
brother's no
sake, more
too, than
for 
the had
sake doubt
of 
his himself
own 
heart, she
she thought
rejoiced; 
and 
she 
reproached her
herself daughter
for sake
being 
unjust satisfaction
to though
his 
merit 
before, herself
in she
believing 
him persuad
incapable 
of 
generosity. much
His smaller
attentive provision
behaviour than
to 7000
herself pound
and would
his support
sisters her
convinced 
her affluence
that 
their their
welfare brother
was sake
dear too
to 
him, 
and, sake
for 
a his
long own
time, heart
she she
firmly rejoic
relied 
on she
the reproach
liberality herself
of 
his be
intentions. unjust
The 
contempt his
which merit
she before
had, 
very believ
early him
in incapable
their 
acquaintance, generositi
felt his
for attentive
her behaviour
daughter-in-law, 
was herself
very 
much his
increased sister
by convinc
the her
farther 
knowledge their
of welfare
her 
character, dear
which 
half him
a 
year's 
residence 
in long
her time
family she
afforded; firmli
and reli
perhaps 
in 
spite liberaliti
of 
every his
consideration intention
of 
politeness contempt
or which
maternal she
affection had
on veri
the earli
side 
of their
the acquaintance
former, felt
the 
two her
ladies daughter
might 
have law
found daughterinlaw
it 
impossible veri
to much
have increas
lived 
together 
so farther
long, knowledge
had 
not her
a character
particular which
circumstance half
occurred 
to year
give residence
still 
greater her
eligibility, famili
according afford
to 
the perhap
opinions 
of spite
Mrs. 
Dashwood, everi
to consideration
her 
daughters' politeness
continuance or
at maternal
Norland. affection
This 
circumstance 
was side
a 
growing 
attachment former
between 
her two
eldest ladi
girl might
and have
the found
brother 
of impossible
Mrs. 
John have
Dashwood, live
a together
gentleman-like so
and long
pleasing had
young not
man, 
who particular
was circumstance
introduced occur
to 
their give
acquaintance still
soon greater
after eligibiliti
his accord
sister's 
establishment 
at opinion
Norland, 
and mrs
who dashwood
had 
since her
spent daughter
the continuance
greatest 
part norland
of this
his circumstance
time 
there. 
Some grow
mothers attachment
might between
have her
encouraged eldest
the girl
intimacy 
from 
motives brother
of 
interest, mrs
for john
Edward dashwood
Ferrars 
was gentleman
the like
eldest gentlemanlike
son 
of pleas
a young
man man
who who
had 
died introduc
very 
rich; their
and acquaintance
some soon
might after
have his
repressed sister
it establishment
from 
motives norland
of 
prudence, who
for, had
except since
a spent
trifling 
sum, greatest
the part
whole 
of his
his time
fortune there
depended some
on mother
the might
will have
of encourag
his 
mother. intimaci
But 
Mrs. motive
Dashwood 
was interest
alike 
uninfluenced edward
by ferrar
either 
consideration. 
It eldest
was son
enough 
for 
her man
that who
he had
appeared die
to veri
be rich
amiable, 
that some
he might
loved have
her repress
daughter, 
and 
that motive
Elinor 
returned prudence
the 
partiality. except
It 
was trifl
contrary sum
to 
every whole
doctrine 
of his
hers fortune
that depend
difference 
of 
fortune will
should 
keep his
any mother
couple but
asunder mrs
who dashwood
were 
attracted alike
by uninfluenc
resemblance 
of either
disposition; consideration
and 
that 
Elinor's enough
merit 
should her
not 
be 
acknowledged appear
by 
every 
one amiable
who 
knew 
her, love
was her
to daughter
her 
comprehension 
impossible. elinor
Edward return
Ferrars 
was partialiti
not 
recommended 
to contrari
their 
good everi
opinion doctrine
by 
any her
peculiar 
graces difference
of 
person fortune
or should
address. keep
He ani
was couple
not asunder
handsome, who
and 
his attract
manners 
required resemblance
intimacy 
to disposition
make 
them 
pleasing. elinor
He merit
was should
too not
diffident 
to acknowledg
do 
justice everi
to one
himself; who
but knew
when her
his 
natural 
shyness her
was comprehension
overcome, impossible
his edward
behaviour ferrar
gave 
every not
indication recommend
of 
an their
open, good
affectionate opinion
heart. 
His ani
understanding peculiar
was grace
good, 
and person
his or
education address
had 
given 
it not
solid handsome
improvement. 
But his
he manner
was requir
neither intimaci
fitted 
by make
abilities them
nor pleas
disposition 
to 
answer too
the diffident
wishes 
of do
his justice
mother 
and himself
sister, but
who when
longed his
to natural
see shyness
him 
distinguished overcome
- his
as behaviour
- gave
they everi
hardly indication
knew 
what. 
They open
wanted affectionate
him heart
to his
make understand
a 
fine good
figure 
in his
the education
world had
in given
some 
manner solid
or improvement
other. but
His 
mother 
wished neither
to fit
interest 
him abiliti
in nor
political disposition
concerns, 
to answer
get 
him wishe
into 
parliament, his
or mother
to 
see sister
him who
connected long
with 
some see
of him
the distinguish
great 
men 
of 
the they
day. hardli
Mrs. knew
John what
Dashwood they
wished want
it him
likewise; 
but make
in 
the fine
mean figure
while, 
till 
one world
of 
these some
superior manner
blessings or
could other
be his
attained, mother
it wish
would 
have interest
quieted him
her 
ambition political
to concern
see 
him get
driving him
a into
barouche. parliament
But or
Edward 
had see
no him
turn connect
for 
great some
men 
or 
barouches. great
All men
his 
wishes 
centered day
in mrs
domestic john
comfort dashwood
and wish
the 
quiet likewise
of but
private 
life. 
Fortunately mean
he while
had till
a one
younger 
brother these
who superior
was blessing
more could
promising. 
Edward attain
had 
been would
staying have
several quiet
weeks her
in ambition
